start_time","Error","MODE","G_PDM","MOTOR_PWM","LO_speed"
24-12-24 11:29:21,0,0,0,500,0,
24-12-24 11:29:22,0,0,0,500,0,
24-12-24 11:29:23,0,0,0,500,0,
24-12-24 11:29:24,0,0,0,500,0,
24-12-24 11:29:25,0,0,0,500,0,
24-12-24 11:29:26,0,0,0,500,0,
24-12-24 11:29:27,0,0,0,500,0,
24-12-24 11:29:28,0,0,0,500,0,
24-12-24 11:29:29,0,0,0,500,0,
24-12-24 11:29:30,0,0,0,500,0,
24-12-24 11:29:31,0,0,0,500,0,
24-12-24 11:29:32,0,0,0,500,0,
24-12-24 11:29:33,0,0,0,500,0,
24-12-24 11:29:34,0,0,0,500,0,
24-12-24 11:29:35,0,0,0,500,0,
24-12-24 11:29:36,0,0,0,500,0,
24-12-24 11:29:37,0,0,0,500,0,
24-12-24 11:29:38,0,0,0,500,0,
24-12-24 11:29:39,0,0,0,500,0,
24-12-24 11:29:40,0,0,0,500,0,
24-12-24 11:29:41,0,0,0,500,0,
24-12-24 11:29:42,0,0,0,500,0,
24-12-24 11:29:43,0,0,0,500,0,
24-12-24 11:29:44,0,0,0,500,0,
24-12-24 11:29:45,0,0,0,500,0,
24-12-24 11:29:46,0,0,0,500,0,
24-12-24 11:29:47,0,0,0,500,0,
24-12-24 11:29:48,0,0,0,500,0,
24-12-24 11:29:49,0,0,0,500,0,
24-12-24 11:29:50,0,0,0,500,0,
24-12-24 11:29:51,0,0,0,500,0,
24-12-24 11:29:52,0,0,0,500,0,
24-12-24 11:29:53,0,0,0,500,0,
24-12-24 11:29:54,0,0,0,500,0,
24-12-24 11:29:55,0,0,0,500,0,
24-12-24 11:29:56,0,0,0,500,0,
24-12-24 11:29:57,0,0,0,500,0,
24-12-24 11:29:58,0,0,0,500,0,
24-12-24 11:29:59,0,0,0,500,0,
24-12-24 11:30:0,0,0,0,500,0,
24-12-24 11:30:1,0,0,0,500,0,
24-12-24 11:30:2,0,0,0,500,0,
24-12-24 11:30:3,0,0,0,500,0,
24-12-24 11:30:4,0,0,0,500,0,
24-12-24 11:30:5,0,0,0,500,0,
24-12-24 11:30:6,0,0,0,500,0,
24-12-24 11:30:7,0,0,0,500,0,
24-12-24 11:30:8,0,0,0,500,0,
24-12-24 11:30:9,0,0,0,500,0,
24-12-24 11:30:10,0,0,0,500,0,
24-12-24 11:30:11,0,0,0,500,0,
24-12-24 11:30:12,0,0,0,500,0,
24-12-24 11:30:13,0,0,0,500,0,
24-12-24 11:30:14,0,0,0,500,0,
24-12-24 11:30:15,0,0,0,500,0,
24-12-24 11:30:16,0,0,0,500,0,
24-12-24 11:30:17,0,0,0,500,0,
24-12-24 11:30:18,0,0,0,500,0,
24-12-24 11:30:19,0,0,0,21027,1249,
24-12-24 11:30:20,65536,0,0,21320,0,
24-12-26 11:53:34,0,0,0,43500,0,
24-12-26 11:53:35,0,0,0,43500,0,
24-12-26 11:53:36,0,0,0,43500,0,
24-12-26 11:53:37,0,0,0,43500,0,
24-12-26 11:53:38,0,0,0,43500,0,
24-12-26 11:53:39,0,0,0,43500,0,
24-12-26 11:53:40,0,0,0,43500,0,
24-12-26 11:53:41,0,0,0,43500,0,
24-12-26 11:53:42,0,0,0,43500,0,
24-12-26 11:53:43,0,0,0,43500,0,
24-12-26 11:53:44,0,0,0,43500,0,
24-12-26 11:53:45,0,0,0,43500,0,
24-12-26 11:53:46,0,0,0,43500,0,
24-12-26 11:53:47,0,0,2,16053,4739,
24-12-26 11:53:48,0,0,0,16170,0,
24-12-26 11:53:49,0,0,0,16170,0,
24-12-26 11:53:50,0,0,0,16170,0,
24-12-26 11:53:51,0,0,0,16170,0,
24-12-26 11:53:52,0,0,0,16170,0,
24-12-26 11:53:53,0,0,0,16170,0,
24-12-26 11:53:54,0,0,0,15967,0,
24-12-26 11:53:55,0,0,0,15967,0,
24-12-26 11:53:56,0,0,0,15967,0,
24-12-26 11:53:57,0,0,0,15967,0,
24-12-26 11:53:58,0,0,0,15967,0,
24-12-26 11:53:59,0,0,0,15932,0,
24-12-26 11:54:0,0,0,0,15932,0,
24-12-26 11:54:1,0,0,0,15932,0,
24-12-26 11:54:2,0,0,0,15932,0,
24-12-26 11:54:3,0,0,0,15932,0,
24-12-26 11:54:4,0,0,0,15932,0,
24-12-26 11:54:5,0,0,0,15932,0,
24-12-26 11:54:6,0,0,0,15932,0,
24-12-26 11:54:7,0,0,0,15932,0,
24-12-26 11:54:8,0,0,0,15932,0,
24-12-26 11:54:9,0,0,0,15932,0,
24-12-26 11:54:10,0,0,0,15932,0,
24-12-26 11:54:11,0,0,0,15932,0,
24-12-26 11:54:12,0,0,0,15932,0,
24-12-26 11:54:13,0,0,0,15932,0,
24-12-26 11:54:14,0,0,0,15932,0,
24-12-26 11:54:15,0,0,0,15932,0,
24-12-26 11:54:16,0,0,0,15932,0,
24-12-26 11:54:17,0,0,0,15932,0,
24-12-26 11:54:18,0,0,0,15932,0,
24-12-26 11:54:19,0,0,0,15932,0,
24-12-26 11:54:20,0,0,0,15932,0,
24-12-26 11:54:21,0,0,0,15932,0,
24-12-26 11:54:22,0,0,0,15932,0,
24-12-26 11:54:23,0,0,0,15932,0,
24-12-26 11:54:24,0,0,0,15932,0,
24-12-26 11:54:25,0,0,0,15932,0,
24-12-26 11:54:26,0,0,0,15932,0,
24-12-26 11:54:27,0,0,0,15932,0,
24-12-26 11:54:28,0,0,0,15932,0,
24-12-26 11:54:29,0,0,0,15932,0,
24-12-26 11:54:30,0,0,0,15932,0,
24-12-26 11:54:31,0,0,0,15932,0,
24-12-26 11:54:32,0,0,0,15932,0,
24-12-26 11:54:33,65536,0,1,16037,0,
